Depth;Sample;Calendar years BP;Pollen sum;Abies;Acer;Achillea/Anthemis-type;Agrostemma githago;Allium-type;Alnus;Amaranthaceae;Anagallis arvensis;Anagallis tenella;Anemone nemorosa-type;Angiospermae undiff. (herbs);Apiaceae undiff.;Armeria;Artemisia;Asphodelus-type;Asteraceae undiff.;Betula;Bistorta officinalis-type;Boraginaceae undiff.;Brassicaceae;Bryophyta undiff.;Bupleurum-type;Buxus;Calligonum-type;Campanulaceae;Carpinus betulus;Caryophyllaceae undiff.;Castanea;Cedrus;Celtis;Centaurea cf. C. cyanus/montana-type;Centaurea scabiosa;Centaurea solstitialis-type;Cichorioideae;Cirsium;Clusiaceae/Hypericaceae cf. Hypericum;Consolida ambigua-type;Cornaceae;Corylus;Cupressaceae-type;Cyperaceae undiff.;Digitalis-type;Dipsacoideae;Echium-type;Ephedra distachya;Ephedra fragilis-type;Epilobium;Ericaceae;Euonymus europaeus;Fabaceae undiff.;Fagus;Filipendula;Fraxinus excelsior-type;Fraxinus ornus;Fraxinus undiff.;Fritillaria-type;Fumana;Galium-type;Geranium;Hedera;Helianthemum;Helleborus foetidus;Helleborus viridis;Hippophaë;Humulus/Cannabis;Ilex;Indeterminable (broken);Indeterminable (concealed);Indeterminable (crumpled);Indeterminable (degraded);Juglans;Larix;Liliaceae;Linum;Lithospermum;Lonicera;Lotus;Malvaceae undiff.;Marrubium-type;Mentha-type;Menyanthes;Olea;Ononis;Ostrya;Oxyria-type;Papaveraceae;Pedicularis;Persicaria amphibia;Persicaria maculosa-type;Persicaria undiff.;Phillyrea;Picea;Pinus subg. Strobus;Pinus undiff.;Pistacia;Plantago;Poaceae (Cerealia-type);Poaceae undiff.;Populus;Potentilla-type;Poterium sanguisorba;Primulaceae undiff.;Prunus spinosa;Pterocarya;Quercus ilex;Quercus undiff.;Ranunculus;Resedaceae;Rhamnaceae;Rosaceae cf. Geum;Rosaceae undiff.;Rumex;Salix;Sambucus;Sanguisorba officinalis;Saxifragaceae;Scilla-type;Scrophulariaceae;Scutellaria-type;Serratula-type;Solidago-type;Sorbus;Spermatophyta undiff. (trees/shrubs);Tamarix;Taxus;Thalictrum;Thymelaeaceae cf. Daphne;Tilia;Trifolium-type;Ulmus;Urtica-type;Valeriana;Veronica-type;Viburnum;Vicia;Viscum;Vitis;cf. Alchemilla;cf. Androsace;cf. Centaurium;cf. Chrysosplenium;cf. Circaea;cf. Daphne;cf. Epilobium;cf. Euphorbia;cf. Frangula/Bruckenthalia;cf. Helianthemum;cf. Larix;cf. Mentha;cf. Mercurialis;cf. Myrica;cf. Onobrychis-type;cf. Platanus;cf. Rutaceae;cf. Sambucus;cf. Sedum
449.1;434262;5705;402;36;;;;;74;1;;;;2;;;;;1;;;;;;;;;;9;;;;;;;;;;;;;10;;;;;;;;;;;;14;;;1;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;40;;;;;;;2;;;3;;1;;6;;;;;;;21;165;;;;;;;;;;;;;;;;;4;;;;;;;6;;;;;;;1;;;;;;;;;;;;;;;;;;;
456.3;434263;5815;400;20;1;;;;110;1;;;;4;;;1;;1;;;;;;;;;;9;;;;;;;;;;;;;5;;1;;;;;;;1;;;7;;4;2;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;36;;;;;;;;;;2;;8;;16;;;;;;;16;143;;;;;;;2;;;;;;;;;;2;;1;;;;;3;;;;;;;1;;;;;;;;;;;;;;;;;;;
464.5;434264;5942;450;15;3;;;;121;1;;;;10;;;;;1;;;;;;;;;;14;;1;;;;;;;;;;;16;;1;;;;;;;1;;;12;;15;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;39;;;;;;;;;;3;1;5;2;15;;;;;;;26;141;;;;;;2;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
473.4;434265;6079;446;51;5;;;;102;1;;;;6;;;;;1;;;;;;;;;;18;;;;;;;;;;;;;10;;;;;;;;;1;;;12;;4;4;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;33;;;;;;;;;;2;;2;;22;;;;;;;17;134;;;;;;;;;;;;;;;;;1;;;;;;;13;;;;;;;2;;;;;;;;;;;;;;;;;;;
478.9;434266;6165;362;31;;;;;16;1;;;;12;;;;;1;;;;;;;;;;15;;;;;;;;;;;;;17;;1;;;;;;;;;;10;;4;3;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;46;;;;;;;3;;;7;;1;3;18;1;;;;;;3;152;;;;;;2;1;;;;;;;;;;2;;;;;;;3;;;;;;;5;;;;;;;;;;;;;;;;;;;
482.8;434267;6224;371;52;1;;;;57;;;;;4;;;;;1;;;;;;;;;;12;;;;;;;;;;;;;3;;2;;;;;;;;;;12;;1;4;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;4;;;3;1;3;;9;2;;;;;;14;126;;;;;;;2;;;;;;;;;;1;;;;;;;4;;;;;;;2;;;;;;;;;;;;;;;;;;;
491.3;434268;6355;446;33;1;;;;100;3;;;;7;;;;;;;;;;;;;;;12;;;;;;;;;;;;;17;;2;;;;;;;1;;;7;;6;9;;;;;;3;;;;;;;;;;;;;;;;;;;;;;1;;49;;;;;;;;;;1;1;;1;14;;;;;;;12;149;;;;;;;3;;;;;;;;;;;;;;;1;;11;;;;;;;2;;;;;;;;;;;;;;;;;;;
493.7;434269;6392;380;40;2;;;;54;;;;;11;;;2;;;;;;;;;;;;8;;;;;;;;;;;;;26;;2;;;;;;;1;;;9;;7;6;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;48;;;;;;;1;;;2;;;1;12;;;;;;;15;120;;;;;;2;;;;;;;;;;;2;;;;;;;6;;;;;;;1;;;;;;;;;;;;;;;;;;;
500.7;434270;6499;374;25;3;;;;47;;;;;3;;;;;;;;;;;;;;;24;;;;;;;;;;;;;23;;1;;;;;;;2;;;6;;;4;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;58;;;;;;;5;;;1;1;3;1;12;1;;;;;;13;130;;;;;;;;;;;;;;;;;2;;1;;;;;3;;;;;;;2;;;;;;;;;;;;;;;;;;;
501.4;434271;6511;412;37;4;;;;90;1;;;;7;;;;;;;;;;;;;;;16;;1;;;;;;;;;;;16;;1;;;;;;;;;;9;;2;3;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;40;;;;;;;10;;;2;;1;1;16;;;;;;;6;129;;;;;;1;4;;;;;;;;;;;;;;;;;10;;;;;;;3;;;;;;;;;;;;;;;;;;;
501.9;434272;6518;500;36;2;;;;185;1;;;;9;;;1;;;;;;;;;;;;9;;;;;;;;;;;;;22;;;;;;;;;;;;10;;;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;39;;;;;;;7;;;1;;3;2;19;;;;;;;35;96;;;;;;1;1;;;;;;;;1;;;;7;;;1;;4;;;;;;;4;;;;;;;;;;;;;;;;;;;
509.9;434273;6641;370;38;1;;;;34;1;;;;6;;;1;;1;;;;;;;;;;10;;;;;;;;;;;;;21;;1;;;;;;;;;;10;;6;5;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;40;;;;;;;;;;2;1;2;;10;;;;;;;11;151;;;;;;;1;;;;;;;;;;2;;;;;;;4;;;;;;;8;;;;;;;;;;;;;;;;;;;
510.3;434274;6647;344;21;3;;;;63;1;;;;3;;;1;;1;;;;;;;;;;20;;;;;;;;;;;;;18;;2;;;;;;;;;;8;;2;1;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;46;;;;;;;8;;;2;;;;6;2;;;;;;3;112;;;;;;;;;;;;;;;;;3;;1;;;1;;9;;;;;;;4;;;;;;;;;;;;;;;;;;;
511.1;434275;6660;439;39;7;;;;167;1;;;;3;;;;;;;;;;;;;;;14;;;;;;;;;;;;;9;;;;;;;;;;;;9;;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;1;;28;;;;;;;8;;;2;;4;;8;;;;;;;5;114;;;;;;;1;;;;;;;;;;1;;9;;;;;2;;;;;;;1;;;;;;;;;;;;;;;;;;;
519.9;434276;6795;391;46;1;;;;43;;;;;2;;;;;;;;;;;;;;;24;;;;;;;;;;;;;22;;;;;;;;;1;;;12;;1;5;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;49;;;;;;;9;;;4;;2;;18;;;;;;;16;126;;;;;;2;;;;;;;;;;;;;;;;;;4;;;;;;;1;;;;;;;;;;;;;;;;;;;
520.5;434277;6805;415;26;;;;;62;2;;;;;2;;;;;;;;;;;;;;17;;;;;;;;1;;;;;11;;1;;;;;;;1;;1;17;;11;;;;;;;2;;;;1;;;;;;;;;;;;;;;;;;;;27;;;;;;;;;;1;;1;;16;;;;;;;;205;1;;1;;;;1;;;;;;;;1;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;
521.9;434278;6838;414;40;;;;;82;1;;;;13;;;;;1;;;;;;;;;;11;;1;;;;;;;;;;;13;;3;;;;;;;;;;9;;2;9;;;;;;2;;;;;;;;;;;;;;;;;;;;;;1;;36;;;;;;;10;;;3;;3;;15;;;;;;;9;138;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;3;;;;;;;;;;;;;;;;;;;
524.8;434279;6905;400;43;1;;;;80;3;;;;4;;;;;3;;;;;;;;;;13;;;;;;;;;;;;;27;1;2;;;;;;;3;;;10;;2;3;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;45;;;;;;;3;;;1;;;2;14;;;;;;;9;115;;;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;2;;;;;;;;;;;;;;;;;;;
528.7;434280;6996;456;32;1;;;;96;1;;;;4;;;1;;;;;;;;;;;;19;;;;;;;;;;;;;19;1;2;;;;;;;;;;16;;;5;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;47;;;;;;;8;;;;;;4;14;4;;;;;;4;153;;;;;;;1;;;;;;;;;;2;;2;;;;;10;;;;;;;2;;;;;;;;;;;;;;;;;;;
528.7;434281;6997;622;23;1;;;;271;;;;;1;;;;;;;;;;;;;;;17;;;;;;;;;;;;;16;;2;;;;;;;;;;9;;2;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;36;;;;;;;10;;;1;;10;23;23;;;;;;;13;141;;;;;;1;;;;;;;;;;;1;;3;;;;;11;;;;;;;1;;;;;;;;;;;;;;;;;;;
535.6;434282;7156;328;45;2;;;;31;1;;;;2;;;;;;;;;;;;;;;14;;;;;;;;;;;;;15;;;;;;;;;;;;13;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;38;;;;;;;9;;;1;;1;1;11;;;;;;;10;124;;;;;;;1;;;;;;;;;;;;1;;;;;5;;;;;;;1;;;;;;;;;;;;;;;;;;;
541.4;434283;7291;300;31;1;;;;45;2;;;;8;;;;;;;;;;;;;;;1;;;;;;;;;;;;;24;;4;;;;;;;;;;18;;5;2;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;26;;;;;;;1;;;4;;;;10;;;;;;;1;91;;;;;;1;3;;;;;;;;;;3;;3;;;1;;14;;;;;;;;;;;;;;;;;;;;;;;;;;
542.1;434284;7309;308;29;;;;;1;1;;;;4;;;;;3;;;;;;;;;;10;;;;;;;;;;;;;18;1;3;;;;;;;;;;7;;4;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;;;;4;;;1;;1;1;12;;;;;;;5;141;;;;;;;;;;;;;;;;;1;;1;;;;;8;;;;;;;1;;;;;;;;;;;;;;;;;;;
562.3;434285;7778;336;33;3;;;;33;3;;;;4;;;;;;;;;;;;;;;2;;;;;;;;;;;;;13;;3;;;;;;;;;;18;;;5;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;39;;;;;;;9;;;6;;1;;22;;;;;;;;107;;;;;;;1;;;;;;;;;;1;;;;;8;;21;;;;;;;1;;;;;;;;;;;;;;;;;;;
563.6;434286;7809;344;27;3;;;;1;;;;;3;;;;;;;;;;;;;;;7;;;;;;;;;;;;;15;;3;;;;;;;;;;15;;3;4;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;70;;;;;;;2;;;3;;4;;16;;;;;;;;157;;;;;;;;;;;;;;;;;;;;;;1;;8;;;;;;;1;;;;;;;;;;;;;;;;;;;
566.4;434287;7874;372;34;1;;;;;;;;;2;;;;;;;;;;;;;;;19;;;;;;;;;;;;;37;;5;;;;;;;;;;15;;;3;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;40;;;;;;;13;;;1;;1;2;22;;;;;;;6;156;;;;;;;1;;;;;;;;;;1;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;
584.6;434288;8297;348;3;;;;;49;1;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;;1;;;;;;;;;;5;;4;3;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;52;;;;;;;12;;;4;;;;10;;;;;;;;136;;;;;;;;;;;;;;;;;1;;;;;4;;26;;;;;;;;;;;;;;;;;;;;;;;;;;
588.6;434289;8391;383;21;2;;;;13;1;;;;2;;;2;;1;;;;;;;;;;7;;;;;;;;;;;;;41;;2;;;;;;;;;;25;;8;2;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;51;;;;;;;5;;;;;;;25;;;;;;;6;137;;;;;;1;;;;;;;;;;;;;;;;;;26;;;;;;;2;;;;;;;;;;;;;;;;;;;
598.5;434290;8623;312;2;2;;;;29;;;;;3;;;2;;;;;;;;;;;;7;;;;;;;;;;;;;32;;;;;;;;;;;;6;;2;4;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;52;;;;;;;;;;1;;;;8;;;;;;;;138;;;;;;;;;;;;;;;;;;;;;;2;;13;;;;;;;1;;;;;;;;;;;;;;;;;;;
600.7;434291;8673;380;23;2;;;;33;;;;;4;;;1;;;;;;;;;;;;3;;;;;;;;;;;;;40;;;;;;;;;1;;;22;;1;4;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;47;;;;;;;8;;;1;;1;1;18;;;;;;;2;131;;;;;;1;;;;;;;;;;;1;;;;;3;;28;;;;;;;;;;;;;;;;;;;;;;;;;;
611.7;434292;8929;372;18;1;;;;32;3;;;;3;;;1;;1;;;;;;;;;;5;;;;;;;;;;;;;49;1;4;;;;;;;;;;10;;3;3;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;41;;;;;;;;;;1;;;;10;;;;;;;2;155;;;;;;;;;;;;;;;;;3;;;;;3;;22;;;;;;;;;;;;;;;;;;;;;;;;;;
617.4;434293;9064;358;4;;;;;24;2;;;;6;;;;;;;;;;;;;;;2;;;;;;;;;;;;;35;;1;;;;;;;;;;9;;1;6;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;72;;;;;;;1;;;3;;;1;12;;;;;;;1;160;;;;;;;1;;;;;;;;;;;;;;;2;;11;;;;;;;2;;;;;;;;;;;;;;;;;;;
617.5;434294;9065;493;1;;;;;35;3;;;;;5;;1;;;;;;;;;;;;6;;;;;;;;1;1;;;;41;1;1;;;;;;;;;1;14;;14;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;13;;45;;;;;;;;;;;;1;;17;;;;;;;;269;;;1;;;1;;5;;;;;;;;;;;;;;5;;5;;;;;;;4;;;;;;;;;;;;;;;;;;;
618.3;434295;9079;394;22;;;;;64;;;;;5;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;39;1;4;;;;;;;1;;;9;;3;4;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;48;;;;;;;8;;;4;;;3;16;;;;;;;2;138;;;;;;;;;;;;;;;;;1;;;;;3;;14;;;;;;;2;;;;;;;;;;;;;;;;;;;
628.9;434296;9280;401;20;1;;;;50;2;;;;2;;;2;;;;;;;;;;;;2;;;;;;;;;;;;;40;1;1;;;;;;;;;;5;;2;5;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;89;;;;;;;6;;;4;;1;;19;;;;;;;2;127;;;;;;;1;;;;;;;;;;1;;;;;;;16;;;;;;;1;;;;;;;;;;;;;;;;;;;
638.6;434297;9464;339;4;;;;;18;2;;;;6;;;;;;;;;;;;;;;4;;1;;;;;;;;;;;63;;1;;;;;;;2;;;6;;1;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84;;;;;;;2;;;;;3;1;9;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;2;;16;;;;;;;2;;;;;;;;;;;;;;;;;;;
640.9;434298;9507;338;1;;;;;27;;;;;9;;;;;;;;;;;;;;;2;;;;;;;;;;;;;46;;2;;;;;;;;;;5;;5;8;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;44;;;;;;;9;;;2;;2;;16;;;;;;;;133;;;;;;1;2;;;;;;;;;;;;;;;4;;15;;;;;;;3;;;;;;;;;;;;;;;;;;;
645.3;434299;9590;349;3;2;;;;32;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48;;1;;;;;;;1;;;11;;2;6;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;60;;;;;;;;;;2;;3;;14;1;;;;;;;144;;;;;;;;;;;;;;;;;;;;;;4;;11;;;;;;;2;;;;;;;;;;;;;;;;;;;
651;434300;9698;312;1;2;;;;41;;;;;4;;;;;;;;;;;;;;;2;;;;;;;;;;;;;20;;5;;;;;;;;;;10;;4;7;;;;;;2;;;;;;;;;;;;;;;;;;;;;;1;;38;;;;;;;6;;;1;;;;11;;;;;;;2;133;;;;;;;1;;;;;;;;;;3;;;;;6;;7;;;;;;;5;;;;;;;;;;;;;;;;;;;
652.8;434301;9732;374;1;;;;;52;1;;;;6;;;2;;;;;;;;;;;;;;;;;;;;;;;;;45;;1;;;;;;;1;;;11;;8;5;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;40;;;;;;;3;;;2;;3;2;18;;;;;;;;143;;;;;;1;;;;;;;;;;;5;;;;;3;;16;;;;;;;3;;;;;;;;;;;;;;;;;;;
657.4;434302;9818;363;6;1;;;;47;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;;2;;;;;;;;;;6;;4;7;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;46;;;;;;;;;;4;;;1;19;;;;;;;1;159;;;;;;;2;;;;;;;;;;;;;;;2;;21;;;;;;;1;;;;;;;;;;;;;;;;;;;
658.1;434303;9831;378;2;;;;;37;2;;;;3;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;43;;2;;;;;;;1;;;7;;5;12;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;41;;;;;;;2;;;3;;2;5;19;1;;;;;;1;157;;;;;;2;1;;;;;;;;;;5;;;;;5;;13;;;;;;;1;;;;;;;;;;;;;;;;;;;
663.2;434304;9928;327;1;1;;;;3;4;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;2;;;13;;5;3;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;22;;;;;;;3;;;1;;1;4;28;1;;;;;;;134;;;;;;;2;;;;;;;;;;2;;;;;7;;22;;;;;;;;;;;;;;;;;;;;;;;;;;
663.2;434305;9929;326;1;6;;;;17;;;;;2;;;;;;;;;;;;;;;1;;;;;;;;;;;;;53;;1;;;;;;;;;;8;;1;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;;;;;;;7;;;1;;;1;21;1;;;;;;;147;;;;;;;1;;;;;;;;;;;;;;;2;;22;;;;;;;;;;;;;;;;;;;;;;;;;;
668.8;434306;10034;273;1;1;;;;4;2;;;;4;;;1;;;;;;;;;;;;;;;;;;;;;;;;;34;;1;;;;;;;1;;;4;;1;5;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;35;;;;;;;7;;;2;1;;2;18;;;;;;;1;123;;;;;;;;;;;;;;;;;;;;;;2;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
671.6;434307;10086;344;1;2;;;;1;2;;;;16;;;;;;;;;;;;;;;1;;;;;;;;;;;;;46;;;;;;;;;1;;;9;;6;9;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;5;;;;;;3;14;;;;;;;;184;;;;;;;6;;;;;;;;;;5;;;;;5;;17;;;;;;;;;;;;;;;;;;;;;;;;;;
674.2;434308;10136;294;2;2;;;;3;2;;;;3;;;2;;;;;;;;;;;;;;;;;;;;;;;;;43;;1;;;;;;;;;;6;;4;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;;;;;;;;;;2;1;;1;21;;;;;;;1;145;;;;;;;2;;;;;;;;;;;;;;;2;;14;;;;;;;1;;;;;;;;;;;;;;;;;;;
679.4;434309;10234;317;2;3;;;;1;1;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;;1;;;;;;;;;;3;;5;11;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;28;;;;;;;4;;;1;;1;2;19;;;;;;;;161;;;;;;1;;;;;;;;;;;1;;;;;1;;25;;;;;;;2;;;;;;;;;;;;;;;;;;;
681.2;434310;10269;329;1;;;;;4;6;;;;12;;;;;;;;;;;;;;;1;;;;;;;;;;;;;57;;3;;;;;;;;;;4;;3;5;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;1;;;;;2;;27;2;;;;;;;152;;;;;;;3;;;;;;;;;;3;;;;;6;;27;;;;;;;;;;;;;;;;;;;;;;;;;;
684.7;434311;10334;297;1;4;;;;2;3;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;;;;;;;;;;;;10;;7;10;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;1;;4;;13;;;;;;;2;153;;;;;;;;;;;;;;;;;;;;;;;;17;;;;;;;1;;;;;;;;;;;;;;;;;;;
690.5;434312;10443;295;1;3;;;;;1;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;;1;;;;;;;;;;12;;1;4;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;9;;;2;;1;1;12;;;;;;;1;176;;;;;;1;1;;;;;;;;;;;;1;;;5;;10;;;;;;;2;;;;;;;;;;;;;;;;;;;
694.1;434313;10513;317;;;;;;2;3;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;;;;;;;;;;;;9;;4;11;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;6;;;7;24;;;;;;;;160;;;;;;1;1;;;;;;;;;;5;;;;;2;;29;;;;;;;;;;;;;;;;;;;;;;;;;;
696.7;434314;10561;306;2;;;;;2;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;37;;;;;;;;;1;;;6;;1;8;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;1;;;4;;2;;9;;;;;;;;175;;;;;;1;;;;;;;;;;;2;;;;;2;;28;;;;;;;1;;;;;;;;;;;;;;;;;;;
700.9;434315;10640;299;1;3;;;;1;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;66;;4;;;;;;;;;;7;;1;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;;;;;8;;;5;;3;;15;;;;;;;;115;;;;;;;;;;;;;;;;;3;;;;;1;;40;;;;;;;1;;;;;;;;;;;;;;;;;;;
703.9;434316;10698;361;;1;;;;2;5;;;;13;;;3;;1;;;;;;;;;;;;;;;;;;;;;;;34;;;;;;;;;2;;;7;;8;10;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;7;36;5;;;;;;;174;;;;;;1;2;;;;;;;;;;7;;;;;11;;27;;;;;;;;;;;;;;;;;;;;;;;;;;
706.7;434317;10750;254;2;;;;;;;;;;14;;;1;;;;;;;;;;;;;;;;;;;;;;;;;53;;;;;;;;;;;;6;;;4;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;3;;;1;;2;2;15;;;;;;;;120;;;;;;;2;;;;;;;;;;1;;;;;4;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
711.4;434318;10838;351;1;1;;;;;2;;;;15;;;1;;;;;;;;;;;;;;;;;;;;;;;;;37;;;;;;;;;;;;6;;1;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;1;;3;1;31;;;;;;;;183;;;;;;2;7;;;;;;;;;;;;;;;2;;34;;;;;;;;;;;;;;;;;;;;;;;;;;
712;434319;10850;248;2;1;;;;;2;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;;1;;;;;;;;;;8;;5;6;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;7;;;4;;;1;18;;;;;;;;129;;;;;;;;;;;;;;;;;1;;;;;2;;30;;;;;;;;;;;;;;;;;;;;;;;;;;
713.6;434320;10881;341;;2;;;;1;8;;;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;;;;;;;;;8;;8;15;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;21;5;;;;;;;180;;;;;;2;5;;;;;;;;;;1;;;;;5;;28;;;;;;;;;;;;;;;;;;;;;;;;;;
717;434321;10945;294;;2;;;;1;2;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;;;;;;;;;;;;6;;1;11;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;3;;;;16;;;;;;;3;148;;;;;;1;7;;;;;;;;;;3;;;;;3;;23;;;;;;;;;;;;;;;;;;;;;;;;;;
718.9;434322;10980;292;1;;;;;1;7;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;;;;;;;;;;;;5;;5;8;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;13;;;;;3;1;20;;;;;;;;155;;;;;;;4;;;;;;;;;;5;;;;;4;;27;;;;;;;;;;;;;;;;;;;;;;;;;;
719;434323;10983;432;;2;;;;2;9;;;;;7;;;;;4;;;;;;;;;;;;;;;;;;;;;;14;1;2;;;;;;;1;;2;14;;15;;;;;;;3;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;4;;1;;39;;;;;;;;273;1;;;;2;5;6;;;;;;;;;;;;;;;2;;18;;;;;;;3;;;1;;;;;;;;;;;;;;;;
721.6;434324;11037;331;1;3;;;;2;1;;;;6;;;1;;;;;;;;;;;;;;;;;;;;;;;;;47;;;;;;;;;;;;3;;4;3;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;7;;;1;;;;29;;;;;;;3;183;;;;;;;1;;;;;;;;;;;;;;;2;;27;;;;;;;;;;;;;;;;;;;;;;;;;;
722.3;434325;11050;329;;1;;;;2;6;;;;18;;;3;;1;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;9;;4;3;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;23;1;;;;;;;197;;;;;;3;7;;;;;;;;;;5;;;;;4;;27;;;;;;;;;;;;;;;;;;;;;;;;;;
725.7;434326;11122;301;;1;;;;2;2;;;;6;;;1;;;;;;;;;;;;;;;;;;;;;;;;;32;;3;;;;;;;;;;10;;4;7;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;1;;;4;;;2;23;;;;;;;;163;;;;;;;1;;;;;;;;;;2;;;;;4;;29;;;;;;;;;;;;;;;;;;;;;;;;;;
730.3;434327;11217;335;;;;;;2;2;;;;15;;;3;;1;;;;;;;;;;;;;;;;;;;;;;;20;1;;;;;;;;;;;4;;3;4;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;1;41;3;;;;;;;195;;;;;;2;6;;;;;;;;;;6;;;;;7;;11;;;;;;;;;;;;;;;;;;;;;;;;;;
