"name","group","element","units","context","S516672","S516675","S516678","S516681","S516684","S516687","S516691","S516693","S516701","S516703","S516707","S516710","S516715","S516721","S516731","S516739","S516750","S516759","S516768","S516778","S516786","S516796","S516805","S516816","S516827","S516671","S516674","S516677","S516680","S516683","S516686","S516688","S516695","S516702","S516705","S516709","S516714","S516720","S516729","S516740","S516748","S516757","S516766","S516775","S516785","S516795","S516806","S516817","S516828","S516839","S516849","S516860","S516871","S516881","S516892","S516901","S516910","S516920","S516689","S516706","S516711","S516716","S516723","S516733","S516745","S516756","S516767","S516777","S516787","S516797","S516807","S516815","S516825","S516835","S516843","S516853","S516863","S516873","S516879","S516889","S516897","S516908","S516917","S516927","S516937","S516948","S516960","S516970","S516692","S516713","S516719","S516730","S516741","S516751","S516760","S516770","S516782","S516793","S516802","S516813","S516822","S516832","S516842","S516851","S516861","S516869","S516883","S516893","S516903","S516913","S516924","S516935","S516946","S516956","S516965","S516694","S516717","S516724","S516734","S516743","S516753","S516763","S516772","S516779","S516790","S516801","S516811","S516821","S516831","S516845","S516855","S516865","S516874","S516885","S516895","S516904","S516914","S516922","S516931","S516941","S516951","S516963","S516973","S516698","S516728","S516738","S516749","S516761","S516773","S516783","S516792","S516803","S516812","S516823","S516833","S516844","S516697","S516727","S516737","S516747","S516758","S516769","S516780","S516699","S516722","S516732","S516742","S516752","S516764","S516774","S516700","S516725","S516735","S516746","S516755","S516765","S516776","S516788","S516799","S516810","S516819","S516829","S516838","S516848","S516859","S516870","S516882","S516891","S516902","S516911","S516921","S516932","S516942","S516953","S516961","S516972","S516784","S516794","S516804","S516814","S516824","S516834","S516841","S516854","S516862","S516872","S516880","S516890","S516900","S516912","S516923","S516934","S516944","S516954","S516964","S516789","S516798","S516808","S516818","S516830","S516840","S516850","S516858","S516868","S516878","S516887","S516899","S516909","S516919","S516930","S516940","S516949","S516957","S516967","S516837","S516846","S516857","S516867","S516877","S516888","S516898","S516907","S516918","S516928","S516938","S516947","S516958","S516968","S516852","S516864","S516875","S516884","S516896","S516906","S516916","S516926","S516936","S516945","S516955","S516966","S516929","S516939","S516950","S516959","S516969","S516673","S516676","S516679","S516682","S516685","S516690","S516696","S516704","S516708","S516712","S516718","S516726","S516736","S516744","S516754","S516762","S516771","S516781","S516791","S516800","S516809","S516820","S516826","S516836","S516847","S516856","S516866","S516876","S516886","S516894","S516905","S516915","S516925","S516933","S516943","S516952","S516962","S516971"
Onobrychis,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,
Ophioglossum vulgatum,VACR,spore,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osmunda regalis,VACR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ostrya-type,TRSH,pollen,NISP,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxalis,UPHE,pollen,NISP,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papaver rhoeas-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,1,,,1,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,1,,,,1,,,2,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,2,,,,,,,1,,,,1,,1,1,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,,2,,,,,,,,1,1,,
Parnassia palustris,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pediastrum,ALGA,spore,NISP,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,1,3,16,,,,,,,,1,,,,,,,,,,,,,2,,2,3,2,,1,,,,,,,,,,,,,,,,,,,,,,2,5,5,3,1,,12,,,,,,,,,,,,,,,,,2,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,1,1,4,,,,,,,,,,,,,,,3,2,2,,1,,,,,,,,,,,,,1,1,4,6,,1,,,,,,,,,,1,,4,3,3,,,,,,,,1,2,,1,,,4,5,1,2,3,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,2,2,4,,1,16
Pedicularis palustris-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,2,1,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,1,1,2,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Peucedanum-type,UPHE,pollen,NISP,,,,,,,,,,,,,,1,,,,,,1,,,2,2,1,2,,,,,,,,,,,1,,,,,,,,,,1,,,1,1,3,1,4,3,1,5,,4,,,,,2,1,,,,,1,2,2,1,2,3,3,4,,2,4,1,4,2,2,1,,2,,1,,1,,,,,,2,,2,2,2,,,,2,5,2,4,3,1,2,2,,1,2,,,1,,,,,,,,,4,2,4,3,1,2,3,,2,1,1,4,1,,1,1,1,,,,,,,,,1,1,2,,,1,,1,,,,1,3,,,,,,,,,,,1,,,,,2,1,1,,3,1,2,2,5,2,4,5,1,4,1,,,,1,1,1,,2,,3,1,5,1,3,,,7,1,,3,,,1,,2,3,,5,2,2,3,5,5,4,4,,,1,1,,,3,3,3,1,4,2,3,4,5,1,1,2,,,1,,4,2,1,,2,1,1,,,,,1,1,,1,,,,,1,,,,,,,,,,1,,1,,2,2,1,,3,1,2,4,4,3,2,,2,1,1,,,2,,
Phyteuma,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,1,,,,2,,,,,,,,
Picea abies,TRSH,pollen,NISP,,126,193,200,86,143,125,142,153,95,103,113,130,135,116,80,113,95,233,173,5,1,1,1,1,1,142,147,160,220,130,140,135,132,84,100,122,102,100,133,115,92,134,186,36,,1,1,2,,,,,,,,,,,135,100,125,120,170,155,73,135,181,35,,,1,1,1,,1,,,,,,,,1,,,2,,7,150,94,112,145,136,93,136,172,1,,,,,1,,1,,1,1,,,,1,,,3,1,177,152,97,104,81,112,218,73,2,,,,,,1,,,,1,,,,,,1,1,1,3,163,134,103,104,300,51,1,1,,1,,,,163,121,75,178,156,159,1,137,120,134,89,123,133,107,173,145,100,107,202,107,15,1,,,,,,1,,1,,,,,1,1,2,1,,11,,2,1,,1,,,2,1,,,1,,,,1,,,,1,,,,,,1,1,1,,1,,,,,,2,2,3,,4,,,,,1,,1,1,1,2,1,5,2,,1,,,,1,1,,,2,1,1,,2,1,4,142,156,165,196,150,138,147,120,67,128,106,123,109,77,88,156,106,3,,,,,,,1,1,,,,,,,2,,,1,2,1
Picea abies,TRSH,stomate,NISP,,,,,,,,,4,,,,,,,,3,,,1,,,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,1,,,1,,,,,1,,,,,2,1,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pimpinella major-type,UPHE,pollen,NISP,,,,,,,,,,,,1,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,2,1,2,3,,,1,2,1,2,1,1,,,,,,1,,,1,,1,1,,1,1,1,2,2,1,2,3,1,4,5,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,2,1,1,,,,,,,,,,,,1,,1,1,2,3,,1,2,3,1,1,2,2,3,1,,1,,,,,,,,,1,,2,1,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,2,2,3,1,4,1,2,1,3,2,1,,,,,,1,3,2,,2,2,,,,1,,1,2,,,,,,,1,2,1,2,,,1,,1,2,1,1,1,,,1,,,2,1,1,1,1,1,3,3,3,1,,,,,1,3,3,3,,8,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,2,2,2,3,,1,2,1,3,,3,,5,1,,1,,,,
Pinus cembra,TRSH,pollen,NISP,,,,,,,,,2,,,1,,,1,,1,,1,,1,8,4,7,5,4,3,,,,,,,,,,,,,1,,,,,,,,,2,5,4,1,5,1,,3,2,,1,,,1,,1,,,1,,,9,2,2,1,1,1,1,1,1,,1,3,2,,,2,3,5,,2,,,,,,,,,1,4,1,2,3,3,1,3,2,,3,4,,,2,1,2,1,3,,,,1,,1,,,1,5,1,2,4,1,,1,1,1,,,1,,4,4,3,4,2,1,,,,,,,,5,,2,2,5,3,,,,1,,1,,,,,,,,2,,1,1,2,1,1,,12,3,2,,,4,7,2,1,2,1,2,1,1,2,,3,4,,,8,1,3,1,1,1,3,1,1,,5,1,2,2,4,1,2,1,,1,3,,1,2,1,,4,1,2,5,1,1,3,4,1,1,,2,1,3,2,2,,,,1,3,3,5,,1,3,4,1,2,6,1,,2,1,3,5,1,3,1,5,3,1,,,,,,,,1,,,,,,,,1,,1,9,4,2,1,1,1,4,2,2,,2,2,1,,2,5,,9,3,2
Pinus subg. Pinus,TRSH,pollen,NISP,,32,52,41,29,27,38,26,40,46,53,53,44,34,30,34,20,14,17,43,476,447,392,341,560,314,51,55,57,46,34,35,33,24,70,50,48,29,28,46,24,28,29,48,153,300,300,400,378,486,413,400,348,400,350,386,300,123,38,42,36,42,28,54,67,18,16,51,274,360,340,350,360,418,406,352,400,320,374,370,400,302,150,42,31,19,66,5,43,40,24,26,51,28,23,17,121,307,412,300,350,400,416,335,350,317,300,400,383,152,68,21,57,47,28,16,44,32,37,68,21,23,29,110,238,500,317,398,456,384,350,408,408,400,350,360,105,65,32,25,42,47,30,32,60,26,43,24,29,155,314,408,392,400,310,335,406,50,41,48,20,16,72,377,41,37,37,41,21,34,248,49,41,116,25,36,29,402,477,358,350,335,300,400,532,372,300,355,400,336,84,23,35,41,32,39,52,378,400,341,365,380,350,400,400,335,352,260,301,354,135,27,42,47,30,26,300,300,350,327,344,400,400,352,391,366,382,307,127,67,28,43,27,42,24,328,400,400,350,350,350,250,93,31,42,30,45,23,81,400,368,358,340,318,179,34,21,21,53,54,25,28,36,39,30,42,45,31,62,45,40,23,72,58,51,35,30,23,98,20,29,32,80,366,364,427,350,371,377,328,550,414,488,362,395,314,137,73,21,29,21,45,41,32
Pinus subg. Pinus,TRSH,stomate,NISP,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Pistacia,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantago alpina-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,3,2,,,1,,,,,,,,1,,,1,,,,,,,1,,1,3,,3,1,,1,1,,,1,,,,,,,,,1,,,,1,,,,,1,,1,1,1,,3,,,,1,,,,,,,,,,,,1,,,,2,,,,2,2,,,1,,,,,,,,,3,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,1,,1,1,,1,,,,,1,1,,2,,,,,1,1,,,,1,1,,,,1,,1,,1,,1,,1,,,,1,1,,,,,2,1,,,,,,,,,1,,,1,1,1,1,1,1,2,,1,1,1,,,,2,2,,,,,,4,,,,,,,,,,,1,,,1,,,,,,,,1,,,1,,,,1,,,1,1,1,,2,,,,,
Plantago atrata-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantago lanceolata,UPHE,pollen,NISP,,7,7,5,2,3,1,4,5,2,7,7,6,6,4,1,3,4,,,,,,,,,6,9,6,12,5,1,4,4,7,2,5,9,3,3,1,2,2,,,,,,,,,,,,,,,,,8,7,11,6,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,3,6,7,2,1,,1,,,,,,,,,,,,,,,,,,,,,9,8,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,7,,4,3,,,,,,,,,,8,1,3,2,,,,14,1,3,,1,,,12,5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,2,3,4,3,7,13,11,12,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
Plantago major,UPHE,pollen,NISP,,1,1,,2,,,,,,1,1,,,,,,1,,,,,,,,,1,1,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantago media,UPHE,pollen,NISP,,1,,,,1,,,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,1,,,2,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,1,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,
Platanus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poaceae,UPHE,pollen,NISP,,33,47,38,16,19,22,29,33,37,30,32,38,45,21,13,18,8,12,9,43,123,85,64,142,81,35,36,41,53,22,21,28,15,32,35,59,41,22,8,14,6,7,17,14,44,84,96,103,98,105,89,109,127,108,113,98,170,311,37,35,47,30,16,12,9,12,18,16,90,84,90,66,110,150,142,109,141,133,137,100,200,200,290,133,141,167,10,104,33,53,30,19,17,4,2,30,34,120,80,90,92,107,90,119,115,124,88,115,100,228,166,124,145,59,95,39,28,24,12,9,8,14,16,17,122,61,86,114,109,97,121,131,137,128,123,141,209,196,158,125,115,72,93,53,20,26,16,11,15,18,166,80,92,82,94,110,37,10,9,15,2,19,36,39,25,18,16,18,12,37,36,27,16,12,14,20,20,136,75,83,88,94,78,108,142,93,117,120,129,229,267,122,141,61,159,84,26,140,96,90,115,90,106,101,114,111,141,87,85,191,253,159,154,77,116,86,67,73,101,131,91,134,118,125,104,101,134,200,351,83,166,89,161,138,101,129,106,91,100,113,63,200,304,146,98,90,54,95,151,127,137,153,80,197,276,157,112,113,94,129,161,163,100,92,109,49,24,38,16,23,23,42,59,48,60,23,12,15,8,7,6,10,24,175,78,74,98,104,89,165,104,162,142,130,80,150,276,190,128,103,108,76,89
Poaceae (Cerealia),UPHE,pollen,NISP,,1,2,3,,1,3,2,2,6,1,2,4,4,,,,,,,,,,,,,3,3,2,3,1,3,,1,6,6,5,5,3,,,1,,,,,,,,,,,,,,,,,1,7,1,5,3,1,,,,,,,,,,,,,,,,,1,,,,,,,,,4,2,1,,,,,,,,,,1,,,,,,,,,,,1,,,,6,5,3,,,,,,,,,,,1,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,7,1,,,,,,7,2,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,6,5,2,1,1,15,5,3,4,6,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1
Polemonium,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polemonium caeruleum,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polygonatum,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polygonum aviculare,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polypodiales (monolete),VACR,spore,NISP,,305,240,380,1275,782,886,664,620,200,295,146,132,336,126,113,107,114,97,96,70,2,5,2,6,5,371,210,383,769,760,690,700,786,235,135,203,318,189,73,114,60,74,59,26,7,4,7,8,5,5,4,4,4,10,12,2,2,2,243,162,164,215,186,116,71,90,67,30,1,7,6,2,8,5,1,5,8,3,9,6,1,3,2,5,4,6,2,16,221,212,194,122,111,98,70,46,79,4,8,9,4,,6,7,8,5,2,8,1,2,8,7,3,5,6,224,230,175,150,167,84,64,49,62,3,6,6,8,5,2,4,6,11,8,8,2,1,6,1,3,4,,16,367,140,88,131,112,37,54,6,8,4,4,3,5,238,134,57,109,114,104,60,230,182,94,142,107,83,69,237,213,59,86,121,59,63,5,3,3,5,5,4,2,5,7,7,11,6,3,5,1,14,3,2,19,41,3,5,4,7,8,2,8,5,7,10,12,4,3,7,7,5,8,7,3,4,7,4,8,3,8,2,8,4,3,7,2,,2,9,3,8,2,4,2,8,7,8,5,4,3,2,3,10,1,1,12,4,8,4,12,13,,1,5,2,2,,5,4,6,6,6,10,261,275,388,956,768,673,394,193,205,268,165,130,72,91,98,64,34,97,1,4,3,7,7,1,8,7,8,6,13,5,1,4,7,1,8,8,5,1
Polypodium,VACR,spore,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
